AMPLITUDE,TEMPERATURE,PPVOLTAGE
0.001,0,0.576591
0.00102,0,0.588034
0.00104,0,0.599467
0.00106,0,0.610899
0.00108,0,0.622305
0.0011,0,0.63376
0.00112,0,0.645137
0.00114,0,0.656544
0.00116,0,0.667944
0.00118,0,0.679337
0.0012,0,0.690724
0.00122,0,0.702131
0.00124,0,0.713505
0.00126,0,0.724872
0.00128,0,0.736232
0.0013,0,0.747584
0.00132,0,0.758929
0.00134,0,0.77027
0.00136,0,0.7816
0.00138,0,0.792923
0.0014,0,0.804237
0.00142,0,0.815543
0.00144,0,0.826842
0.00146,0,0.838132
0.00148,0,0.849413
0.0015,0,0.860687
0.00152,0,0.871951
0.00154,0,0.883207
0.00156,0,0.894453
0.00158,0,0.905638
0.0016,0,0.916865
0.00162,0,0.928083
0.00164,0,0.939291
0.00166,0,0.95049
0.00168,0,0.961712
0.0017,0,0.972896
0.00172,0,0.984067
0.00174,0,0.995369
0.00176,0,1.00645
0.00178,0,1.01755
0.0018,0,1.02868
0.00182,0,1.0398
0.00184,0,1.05091
0.00186,0,1.06201
0.00188,0,1.07309
0.0019,0,1.08417
0.00192,0,1.09535
0.00194,0,1.10641
0.00196,0,1.11747
0.00198,0,1.12851
0.002,0,1.13954
0.00202,0,1.15055
0.00204,0,1.16155
0.00206,0,1.17254
0.00208,0,1.18352
0.0021,0,1.19448
0.00212,0,1.20543
0.00214,0,1.21637
0.00216,0,1.22739
0.00218,0,1.23831
0.0022,0,1.24922
0.00222,0,1.26011
0.00224,0,1.271
0.00226,0,1.28182
0.00228,0,1.29267
0.0023,0,1.30341
0.00232,0,1.31407
0.00234,0,1.32494
0.00236,0,1.33573
0.00238,0,1.34644
0.0024,0,1.35707
0.00242,0,1.36762
0.00244,0,1.37818
0.00246,0,1.38886
0.00248,0,1.40094
0.0025,0,1.40988
0.00252,0,1.41965
0.00254,0,1.4303
0.00256,0,1.44191
0.00258,0,1.45496
0.0026,0,1.46949
0.00262,0,1.47266
0.00264,0,1.48687
0.00266,0,1.49694
0.00268,0,1.51086
0.0027,0,1.52234
0.00272,0,1.53428
0.00274,0,1.54568
0.00276,0,1.55304
0.00278,0,1.56405
0.0028,0,1.57287
0.00282,0,1.58381
0.00284,0,1.60056
0.00286,0,1.60384
0.00288,0,1.61258
0.0029,0,1.62002
0.00292,0,1.64056
0.00294,0,1.64341
0.00296,0,1.65374
0.00298,0,1.66531
0.003,0,1.67464
0.00302,0,1.68311
0.00304,0,1.6936
0.00306,0,1.70412
0.00308,0,1.71723
0.0031,0,1.72449
0.00312,0,1.73606
0.00314,0,1.74659
0.00316,0,1.7558
0.00318,0,1.76765
0.0032,0,1.78758
0.00322,0,1.79807
0.00324,0,1.80404
0.00326,0,1.81731
0.00328,0,1.8305
0.0033,0,1.84001
0.00332,0,1.84989
0.00334,0,1.86135
0.00336,0,1.86944
0.00338,0,1.88473
0.0034,0,1.89575
0.00342,0,1.90624
0.00344,0,1.91711
0.00346,0,1.91966
0.00348,0,1.93298
0.0035,0,1.94165
0.00352,0,1.95389
0.00354,0,1.96354
0.00356,0,1.96766
0.00358,0,1.98052
0.0036,0,1.98292
0.00362,0,1.99953
0.00364,0,2.00796
0.00366,0,2.01523
0.00368,0,2.02585
0.0037,0,2.03607
0.00372,0,2.04601
0.00374,0,2.05463
0.00376,0,2.05679
0.00378,0,2.07362
0.0038,0,2.08363
0.00382,0,2.09172
0.00384,0,2.10301
0.00386,0,2.10353
0.00388,0,2.11992
0.0039,0,2.12344
0.00392,0,2.12452
0.00394,0,2.13529
0.00396,0,2.14531
0.00398,0,2.15484
0.004,0,2.16515
0.00402,0,2.16842
0.00404,0,2.18133
0.00406,0,2.18463
0.00408,0,2.20178
0.0041,0,2.20745
0.00412,0,2.2192
0.00414,0,2.2299
0.00416,0,2.23553
0.00418,0,2.24156
0.0042,0,2.25549
0.00422,0,2.26521
0.00424,0,2.27169
0.00426,0,2.28285
0.00428,0,2.29918
0.0043,0,2.29771
0.00432,0,2.30962
0.00434,0,2.31858
0.00436,0,2.3342
0.00438,0,2.3438
0.0044,0,2.35257
0.00442,0,2.37102
0.00444,0,2.38282
0.00446,0,2.39028
0.00448,0,2.39236
0.0045,0,2.39992
0.00452,0,2.42187
0.00454,0,2.43671
0.00456,0,2.42933
0.00458,0,2.44911
0.0046,0,2.46079
0.00462,0,2.47586
0.00464,0,2.48024
0.00466,0,2.48231
0.00468,0,2.50395
0.0047,0,2.50221
0.00472,0,2.51225
0.00474,0,2.52426
0.00476,0,2.53228
0.00478,0,2.53316
0.0048,0,2.54632
0.00482,0,2.54071
0.00484,0,2.56526
0.00486,0,2.56866
0.00488,0,2.57906
0.0049,0,2.58528
0.00492,0,2.59329
0.00494,0,2.60193
0.00496,0,2.60565
0.00498,0,2.61593
0.005,0,2.62173
0.001,1,0.575848
0.00102,1,0.587278
0.00104,1,0.598697
0.00106,1,0.610115
0.00108,1,0.621508
0.0011,1,0.632948
0.00112,1,0.644313
0.00114,1,0.655708
0.00116,1,0.667095
0.00118,1,0.678475
0.0012,1,0.689849
0.00122,1,0.701242
0.00124,1,0.712604
0.00126,1,0.723958
0.00128,1,0.735306
0.0013,1,0.746646
0.00132,1,0.757979
0.00134,1,0.769308
0.00136,1,0.780626
0.00138,1,0.791936
0.0014,1,0.803239
0.00142,1,0.814534
0.00144,1,0.82582
0.00146,1,0.837099
0.00148,1,0.848369
0.0015,1,0.859631
0.00152,1,0.870885
0.00154,1,0.882129
0.00156,1,0.893365
0.00158,1,0.904593
0.0016,1,0.915814
0.00162,1,0.926969
0.00164,1,0.938168
0.00166,1,0.949357
0.00168,1,0.960569
0.0017,1,0.97174
0.00172,1,0.982902
0.00174,1,0.994053
0.00176,1,1.00526
0.00178,1,1.0164
0.0018,1,1.02747
0.00182,1,1.03858
0.00184,1,1.04968
0.00186,1,1.06077
0.00188,1,1.07185
0.0019,1,1.08292
0.00192,1,1.09398
0.00194,1,1.10514
0.00196,1,1.11618
0.00198,1,1.12722
0.002,1,1.13824
0.00202,1,1.14925
0.00204,1,1.16024
0.00206,1,1.17122
0.00208,1,1.18219
0.0021,1,1.19315
0.00212,1,1.2041
0.00214,1,1.21503
0.00216,1,1.22595
0.00218,1,1.23695
0.0022,1,1.24785
0.00222,1,1.25874
0.00224,1,1.26956
0.00226,1,1.2802
0.00228,1,1.2911
0.0023,1,1.30191
0.00232,1,1.31267
0.00234,1,1.32331
0.00236,1,1.33391
0.00238,1,1.34455
0.0024,1,1.35562
0.00242,1,1.36743
0.00244,1,1.37619
0.00246,1,1.38642
0.00248,1,1.39716
0.0025,1,1.40958
0.00252,1,1.42211
0.00254,1,1.43809
0.00256,1,1.43976
0.00258,1,1.45337
0.0026,1,1.46526
0.00262,1,1.47771
0.00264,1,1.49015
0.00266,1,1.499
0.00268,1,1.50959
0.0027,1,1.52404
0.00272,1,1.52988
0.00274,1,1.54118
0.00276,1,1.55072
0.00278,1,1.55819
0.0028,1,1.57566
0.00282,1,1.58186
0.00284,1,1.59044
0.00286,1,1.60258
0.00288,1,1.6165
0.0029,1,1.62289
0.00292,1,1.63603
0.00294,1,1.65127
0.00296,1,1.6567
0.00298,1,1.6681
0.003,1,1.676
0.00302,1,1.68773
0.00304,1,1.69868
0.00306,1,1.70793
0.00308,1,1.71619
0.0031,1,1.72445
0.00312,1,1.73597
0.00314,1,1.74577
0.00316,1,1.76172
0.00318,1,1.77747
0.0032,1,1.78911
0.00322,1,1.8004
0.00324,1,1.80973
0.00326,1,1.82094
0.00328,1,1.83224
0.0033,1,1.84633
0.00332,1,1.8445
0.00334,1,1.86394
0.00336,1,1.87678
0.00338,1,1.88385
0.0034,1,1.89501
0.00342,1,1.90294
0.00344,1,1.91187
0.00346,1,1.92185
0.00348,1,1.92663
0.0035,1,1.9432
0.00352,1,1.9479
0.00354,1,1.96837
0.00356,1,1.96926
0.00358,1,1.9794
0.0036,1,1.99171
0.00362,1,1.99347
0.00364,1,2.00845
0.00366,1,2.01806
0.00368,1,2.02696
0.0037,1,2.03168
0.00372,1,2.04308
0.00374,1,2.04894
0.00376,1,2.05914
0.00378,1,2.07052
0.0038,1,2.07406
0.00382,1,2.08233
0.00384,1,2.09195
0.00386,1,2.1009
0.00388,1,2.11222
0.0039,1,2.11508
0.00392,1,2.13215
0.00394,1,2.13805
0.00396,1,2.15172
0.00398,1,2.15556
0.004,1,2.16104
0.00402,1,2.16562
0.00404,1,2.17578
0.00406,1,2.19188
0.00408,1,2.20002
0.0041,1,2.2086
0.00412,1,2.21836
0.00414,1,2.22358
0.00416,1,2.24134
0.00418,1,2.24573
0.0042,1,2.2544
0.00422,1,2.26398
0.00424,1,2.2746
0.00426,1,2.28328
0.00428,1,2.29032
0.0043,1,2.30658
0.00432,1,2.30914
0.00434,1,2.32395
0.00436,1,2.33293
0.00438,1,2.34352
0.0044,1,2.3533
0.00442,1,2.36773
0.00444,1,2.37647
0.00446,1,2.39022
0.00448,1,2.4021
0.0045,1,2.41386
0.00452,1,2.42777
0.00454,1,2.42806
0.00456,1,2.43846
0.00458,1,2.44781
0.0046,1,2.46412
0.00462,1,2.47218
0.00464,1,2.47833
0.00466,1,2.49344
0.00468,1,2.49275
0.0047,1,2.51291
0.00472,1,2.51654
0.00474,1,2.5265
0.00476,1,2.53494
0.00478,1,2.53926
0.0048,1,2.54719
0.00482,1,2.55598
0.00484,1,2.56467
0.00486,1,2.57318
0.00488,1,2.58031
0.0049,1,2.57935
0.00492,1,2.59284
0.00494,1,2.5942
0.00496,1,2.61614
0.00498,1,2.62475
0.005,1,2.63335
0.001,2,0.574987
0.00102,2,0.586401
0.00104,2,0.597809
0.00106,2,0.609207
0.00108,2,0.620585
0.0011,2,0.631974
0.00112,2,0.643358
0.00114,2,0.654738
0.00116,2,0.666109
0.00118,2,0.677474
0.0012,2,0.688833
0.00122,2,0.700211
0.00124,2,0.711558
0.00126,2,0.722897
0.00128,2,0.73423
0.0013,2,0.745555
0.00132,2,0.756874
0.00134,2,0.768188
0.00136,2,0.779492
0.00138,2,0.790788
0.0014,2,0.802077
0.00142,2,0.813358
0.00144,2,0.82463
0.00146,2,0.835895
0.00148,2,0.847155
0.0015,2,0.858404
0.00152,2,0.869645
0.00154,2,0.880877
0.00156,2,0.8921
0.00158,2,0.903315
0.0016,2,0.91452
0.00162,2,0.925717
0.00164,2,0.93685
0.00166,2,0.948027
0.00168,2,0.959227
0.0017,2,0.970386
0.00172,2,0.981536
0.00174,2,0.992676
0.00176,2,1.00373
0.00178,2,1.01499
0.0018,2,1.0261
0.00182,2,1.03715
0.00184,2,1.04824
0.00186,2,1.05932
0.00188,2,1.07039
0.0019,2,1.08145
0.00192,2,1.0925
0.00194,2,1.10353
0.00196,2,1.11467
0.00198,2,1.12569
0.002,2,1.13671
0.00202,2,1.14771
0.00204,2,1.15869
0.00206,2,1.16967
0.00208,2,1.18063
0.0021,2,1.19158
0.00212,2,1.20251
0.00214,2,1.21344
0.00216,2,1.22435
0.00218,2,1.23526
0.0022,2,1.24584
0.00222,2,1.25689
0.00224,2,1.26778
0.00226,2,1.27854
0.00228,2,1.28924
0.0023,2,1.29985
0.00232,2,1.31053
0.00234,2,1.32216
0.00236,2,1.3335
0.00238,2,1.34244
0.0024,2,1.35281
0.00242,2,1.36362
0.00244,2,1.37679
0.00246,2,1.38851
0.00248,2,1.40785
0.0025,2,1.40761
0.00252,2,1.41812
0.00254,2,1.4324
0.00256,2,1.44502
0.00258,2,1.45735
0.0026,2,1.46608
0.00262,2,1.47936
0.00264,2,1.48671
0.00266,2,1.4951
0.00268,2,1.5115
0.0027,2,1.51748
0.00272,2,1.52784
0.00274,2,1.53818
0.00276,2,1.55402
0.00278,2,1.56546
0.0028,2,1.56931
0.00282,2,1.58712
0.00284,2,1.59286
0.00286,2,1.60228
0.00288,2,1.61419
0.0029,2,1.62384
0.00292,2,1.63447
0.00294,2,1.64363
0.00296,2,1.65409
0.00298,2,1.66454
0.003,2,1.67515
0.00302,2,1.68515
0.00304,2,1.69783
0.00306,2,1.71038
0.00308,2,1.71651
0.0031,2,1.72711
0.00312,2,1.73647
0.00314,2,1.75831
0.00316,2,1.76912
0.00318,2,1.78349
0.0032,2,1.7948
0.00322,2,1.80479
0.00324,2,1.81641
0.00326,2,1.82258
0.00328,2,1.83438
0.0033,2,1.84388
0.00332,2,1.85128
0.00334,2,1.86828
0.00336,2,1.86839
0.00338,2,1.8831
0.0034,2,1.88863
0.00342,2,1.89957
0.00344,2,1.90978
0.00346,2,1.92051
0.00348,2,1.92903
0.0035,2,1.94202
0.00352,2,1.94707
0.00354,2,1.96308
0.00356,2,1.97196
0.00358,2,1.97656
0.0036,2,1.98524
0.00362,2,1.99303
0.00364,2,1.9974
0.00366,2,2.01403
0.00368,2,2.01636
0.0037,2,2.02939
0.00372,2,2.0335
0.00374,2,2.04413
0.00376,2,2.05928
0.00378,2,2.06452
